6.57,0.92,0.8,13.25
7.76,0.85,0,6.99
7.25,0.76,0,12.05
5.54,0.96,0.33,0.99
4.19,0.89,0,5.42
10.03,0.77,0.01,11.68
8.42,0.84,0.11,10.39
8.22,0.88,0,6.54
6.91,0.83,0,8.68
5.92,0.91,0,5.22
6.06,0.8,0,8.09
3.44,0.91,0.39,7.23
6.51,0.86,0,6.05
4.93,0.87,0.08,5.54
9.38,0.94,0,6.27
7.76,0.85,0,7.32
6.83,0.89,0,5.91
7.91,0.9,0,8.95
6.29,0.84,0,4.91
4.12,0.93,0,0.39
3.51,0.94,0,4.6
7.07,0.94,0,5.09
6.77,0.76,0.2,8.37
5.37,0.89,0,6.35
8.97,0.9,0.12,7.25
6.2,0.96,0.67,11.65
6.77,0.79,0,8.85
6.46,0.9,0,10.47
4.81,0.9,0.43,8.6
1.72,0.92,0.22,5.2
4.47,0.93,0.46,8.66
5.21,0.76,0,12.62
7.55,0.75,0,7.13
6.89,0.8,0,10.45
6.79,0.77,0,9.28
6.62,0.85,0.77,17.34
6.97,0.8,0,5.15
6.86,0.81,0.11,8.27
7.76,0.68,0,14.61
7.44,0.72,0,10.81
4.65,0.9,0.54,3
1.72,0.96,0.71,3.82
6.6,0.88,0.71,17.28
5.75,0.72,0,7.96
3.88,0.92,0.7,11.16
7.37,0.77,0.17,11.18
7.49,0.68,0,5.61
8.44,0.89,0,8.62
8.98,0.89,0.08,5
9.27,0.8,0,4.22
10.86,0.72,0,6.97
7.51,0.72,0,7.85
9.33,0.67,0,5.83
11.06,0.81,0,11.87
8.84,0.8,0,5.5
8.92,0.75,0,9.46
8.99,0.69,0,7.86
7.57,0.75,0.23,8.54
4.21,0.93,0.25,4.77
6.93,0.75,0,1.12
8.26,0.88,0.36,8.53
7.44,0.79,0,3.42
9.07,0.74,0,5.22
8.89,0.77,0,4.44
9.24,0.9,0.2,6.5
13.21,0.74,0,8.77
11.06,0.77,0,8.9
14.78,0.57,0,5.84
10.37,0.7,0,6.91
8.84,0.72,0,5.95
5.7,0.92,0,2.75
8.84,0.82,0,2.32
11.48,0.74,0,4.77
13.5,0.54,0,10.08
13.84,0.62,0,6.59
12.82,0.59,0,4.78
10.06,0.85,0.35,7.74
11.72,0.69,0,6.65
11.36,0.68,0,9.72
9.78,0.62,0,7.99
8.07,0.62,0,7.35
6.62,0.75,0.25,9.26
8.88,0.56,0,8.93
6.87,0.93,0.55,4.01
7.56,0.69,0,5.32
7.56,0.72,0,6.91
9.63,0.76,0,6.66
15.89,0.48,0,15.43
15.37,0.62,0,4.62
13.9,0.72,0,4.2
13.48,0.74,0,2.49
11.95,0.85,0,7.18
9.62,0.92,0,6.44
12.66,0.75,0.12,3.72
12.71,0.85,0,6.64
14.29,0.85,0,9.85
13.18,0.9,0,9.23
10.26,0.6,0,9.93
14.18,0.61,0,5.57
13.02,0.58,0,3
12.98,0.53,0,2.91
10.9,0.68,0,6.57
12.31,0.58,0,6.55
12.73,0.54,0,6.17
12.99,0.5,0,2.79
13.51,0.55,0,4.91
12.91,0.7,0,8.12
11.42,0.49,0,4.25
9.95,0.59,0,6.17
11.07,0.84,0,7.88
15.08,0.76,0,4.68
12.03,0.86,0,4.74
14.39,0.67,0,8.12
12.57,0.77,0,1.63
9.23,0.94,0.75,4.5
13.83,0.63,0,8.61
